-2	0.0183088
-1.9	0.0265695
-1.8	0.0377192
-1.7	0.0523711
-1.6	0.0710976
-1.5	0.0943454
-1.4	0.122332
-1.3	0.154931
-1.2	0.19157
-1.1	0.231143
-1	0.27199
-0.9	0.311929
-0.8	0.348397
-0.7	0.378664
-0.6	0.400143
-0.5	0.41074
-0.4	0.409213
-0.3	0.395471
-0.2	0.370758
-0.1	0.337676
0	0.3
0.1	0.262312
0.2	0.229473
0.3	0.206002
0.4	0.195474
0.5	0.2
0.6	0.21991
0.7	0.253668
0.8	0.298051
0.9	0.348561
1	0.4
1.1	0.447125
1.2	0.485272
1.3	0.510862
1.4	0.521737
1.5	0.517271
1.6	0.498284
1.7	0.466788
1.8	0.425618
1.9	0.378025
